Ex(m), Ey(m), Ez(m)
0.9548102, 0.007826388, 0.02361202
1.766753, 0.008206785, 0.02393818
2.85489, 0.008214891, 0.02400398
4.28812, 0.01009941, 0.02552986
5.977008, 0.01351547, 0.0254488
7.770851, 0.01345563, 0.02512074
9.615191, 0.01573205, 0.02556801
11.36887, 0.07074118, 0.02546787
13.09162, 0.2989411, 0.0252037
14.62718, 0.7999978, 0.02402115
1.353227, 0.8591596, 0.02164936
2.851681, 0.2232759, 0.01944733
4.51963, -0.08248258, 0.01874638
6.3472, -0.1600127, 0.0178566
8.293316, -0.1335407, 0.01823425
10.28396, -0.0960331, 0.01891232
12.28914, -0.04485941, 0.01847076
14.14774, 0.09104353, 0.01650333
15.85434, 0.4099597, 0.01291943
17.45287, 0.9776499, 0.01019764
1.930707, 0.4743959, 0.006797791
3.589432, 0.05925596, 0.006404877
5.474282, -0.1186848, 0.006766319
7.387937, -0.1357675, 0.007228851
9.315568, -0.1078191, 0.008503914
11.29721, -0.04231358, 0.009052277
13.05595, 0.1528177, 0.007665634
14.71487, 0.6048689, 0.005084991
0.9835578, 1.0377, 0.00266552
2.445923, 0.3425502, 0.001425743
4.122995, -0.04640996, 0.0005941391
5.879093, -0.1747298, -0.0002508163
7.858751, -0.169769, 0.0004730225
9.794629, -0.1319332, 0.003904343
11.69681, -0.04359722, 0.006390572
13.4512, 0.1947746, 0.005804062
15.09257, 0.6868577, 0.002441406
1.165154, 0.8500835, 0.0001831055
2.696, 0.2255943, 8.296967e-05
4.500249, -0.1245115, -0.0006599426
6.307098, -0.2323076, -0.001719475
8.283314, -0.2367151, -0.001429558
10.29238, -0.2057983, -0.000919342
12.16667, -0.165204, -0.0008306503
13.95934, -0.1255786, -4.291534e-05
15.49315, -0.09446204, 0.000793457
16.64525, -0.07275522, -0.0004281998
17.50197, -0.0571003, -0.001342773
17.99975, -0.04833698, -0.002354622
18.19745, -0.04397547, -0.00316906
18.20706, -0.04225266, -0.002474785
6
0.05495889, 0.08787367, 0.007316589
0.06997855, 0.0672789, 0.01897717
0.1946155, 0.04285347, 0.01922703
0.5170608, 0.02316503, 0.01923561
1.13066, 0.01259559, 0.0199604
